Aban Offshore	Oil & gas	Exploration & production	Chennai	1986	Oil, petrochemical
ABG Shipyard	Industrials	Shipbuilding	Ahmedabad	1985	Ship engineering
ABP Group	Consumer services	Broadcasting & entertainment	Kolkata	1922	Media, news
ACC Limited	Industrials	Building materials & fixtures	Mumbai	1936	Cement
Action Group	Conglomerate	-	New Delhi	1972	Apparel, chemicals, retail, steel
Adani Group	Conglomerate	-	Ahmedabad	1988	Conglomerate
Aditya Birla Group	Conglomerate	-	Mumbai	1857	Agribusiness, cement, chemicals
Ador Group	Conglomerate	-	Mumbai	1977	Electronics, energy, chemicals
Air Costa	Consumer services	Airlines	Vijayawada	2013	Defunct 2017
Air India	Consumer services	Airlines	New Delhi	1932	Airline
Air India Express	Consumer services	Airlines	Kochi	2005	Low-cost airline, part of Air India
Air Odisha	Consumer services	Airlines	Bhubaneswar	2012	Charter airline
Amartex	Consumer services	Apparel retailers	Gurugram	1984	Clothing retail
Ambuja Cements	Industrials	Building materials & fixtures	Mumbai	1983	Cement
Amrutanjan Healthcare	Health care	Pharmaceuticals	Chennai	1893	Alternative medicines
Amul	Consumer goods	Food products	Anand	1946	Dairy
Apollo Hospitals	Health care	Health care providers	Chennai	1983	Hospital chain
Apollo Tyres	Consumer goods	Tires	Gurugram	1972	Tyres, parts
Aptech	Industrials	Business training & employment agencies	Mumbai	1986	Training
Archies	Consumer services	Specialty retailers	New Delhi	1979	Greeting cards
Arise India	Consumer goods	Consumer electronics	Delhi	1995	Electrical goods
Arvind	Conglomerate	-	Ahmedabad	1931	Clothing, engineering, real estate
Ashok Leyland	Industrials	Commercial vehicles & trucks	Chennai	1948	Bus, trucks, defense vehicles
Asia MotorWorks	Industrials	Commercial vehicles & trucks	Mumbai	2002	Trucks
Asian Paints Ltd	Basic materials	Specialty chemicals	Mumbai	1942	Paints
Avantha Group	Conglomerate	-	New Delhi	1919	Chemicals, I/T, BPO
Axis Bank	Financials	Banks	Ahmedabad	1993	Private sector bank
Bajaj Auto	Consumer goods	Automobiles	Pune	1945	Motorcycles, part of Bajaj Group
Bajaj Group	Conglomerate	-	Pune	1945	Motorcycles, Financial Services, Electricals, Sugar, Iron & Steel, Insurance, Consumer goods
Balaji Group	Conglomerate	-	Mumbai	1926	Automotive, financials, insurance
Balaji Telefilms	Consumer services	Broadcasting & entertainment	Mumbai	1994	Film production
Ballarpur Industries Limited	Basic materials	Paper	Gurugram	1945	Paper
Bank of Baroda	Financials	Banks	Vadodara	1908	State-owned bank
Bank of India	Financials	Banks	Mumbai	1906	Government-owned bank
Bank of Maharashtra	Financials	Banks	Pune	1935	Government-owned bank
BGR Energy Systems Ltd	Oil & gas	Equipment & services	Chennai	1952	
Bharat Aluminium Company	Basic materials	Aluminium	New Delhi	1965	Aluminium, part of Vedanta Resources (UK)
Bharat Dynamics Limited	Industrials	Aerospace & defense	Hyderabad	1970	State-owned missiles, defense
Bharat Earth Movers	Industrials	Commercial vehicles & trucks	Bengaluru	1964	Defense vehicles, heavy construction vehicles, rail vehicles
Bharat Electronics Limited	Industrials	Aerospace & defense	Bengaluru	1954	State-owned electronics, defense
Bharat Forge	Industrials	Industrial engineering	Pune	1961	Engineering and machinery, part of Kalyani Group
Bharat Heavy Electricals	Industrials	Electrical components & equipment	New Delhi	1964	State electrical engineering
Bharat Petroleum	Oil & gas	Exploration & production	Mumbai	1976	State petrochemical
Bharat Sanchar Nigam Limited	Telecommunications	Fixed line telecommunications	New Delhi	2000	State telecom
Bharati Shipyard	Industrials	Shipbuilding	Mumbai	1973	Shipyard
Bharti Airtel	Telecommunications	Mobile telecommunications	New Delhi	1995	Mobile network
Biocon	Health care	Pharmaceuticals & biotechnology	Bengaluru	1978	Pharmaceutical ingredients
Boltt	Consumer goods	Recreational products	Noida	2015	Fitness & health systems, wearable items
Bombay Dyeing	Consumer goods	Clothing & accessories	Mumbai	1879	Textiles
Bonn Group of Industries	Consumer goods	Food products	Ludhiana	1985	Baked goods
BPL Group	Consumer goods	Consumer electronics	Palakkad	1963	Consumer electronics
Britannia Industries	Consumer goods	Food products	Kolkata	1892	Food products
Cadila Healthcare	Health care	Pharmaceuticals	Ahmedabad	1952	Pharma
Café Coffee Day	Consumer services	Restaurants & bars	Bengaluru	1996	Cafe chain
Calcutta Tramways Company	Consumer services	Travel & tourism	Kolkata	1880	Public rail transportation
Canara Bank	Financials	Banks	Bangalore	1906	State-owned bank
CaratLane	Technology	Internet	Chennai	2008	E-commerce
CEAT	Consumer goods	Tires	Mumbai	1958	Tyres
Celkon	Technology	Telecommunications equipment	Hyderabad	2009	Mobile handsets
Central Bank of India	Financials	Banks	Mumbai	1911	Central bank
CESC Limited	Utilities	Conventional electricity	Kolkata	1897	Electrical distribution
Chennai Petroleum Corporation	Oil & gas	Exploration & production	Chennai	1965	State oil and gas
Cipla	Health care	Pharmaceuticals	Mumbai	1935	Multi-national pharma
City Union Bank	Financials	Banks	Kumbakonam	1904	Bank
CMC	Industrials	Business support services	New Delhi	1975	Information technology consulting
Coal India Limited	Basic materials	Coal	Kolkata	1975	Coal mining
Cochin Shipyard Limited	Industrials	Shipbuilding	Kochi	1972	Ship building
Container Corporation of India	Industrials	Marine transportation	New Delhi	1988	Cargo/shipping
Coromandel International	Basic materials	Specialty chemicals	Hyderabad	1960	Fertilizers, pesticides
Cosmic Circuits	Technology	Semiconductors	Bengaluru	2005	Acquired by Cadence Design Systems (US)
Crompton Greaves	Utilities	Conventional electricity	Mumbai	1878	Electrical distribution
CSB Bank	Financials	Banks	Thrissur	1920	Private bank
Cyient	Technology	Software & IT services	Hyderabad	1991	Engineering outsourcing services, software management & technology consulting
Dabur	Health care	Pharmaceuticals	Ghaziabad	1884	Alternative medicines
Damodar Valley Corporation	Utilities	Conventional electricity	Kolkata	1948	Power
